segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #2,GPS13,GPS,150,0.253,0.253,0.001953125,424.140625,45.0
无干扰 #2,GPS18,GPS,100,0.253,0.38,0.001953125,7.78125,32.0
无干扰 #2,GPS23,GPS,150,0.253,0.253,0.001953125,421.28125,46.0
无干扰 #2,GPS25,GPS,150,0.253,0.253,0.001953125,420.828125,45.0
无干扰 #2,GPS28,GPS,150,0.253,0.253,0.001953125,18.78125,39.0
无干扰 #2,GPS32,GPS,150,0.253,0.253,0.001953125,28.78125,34.0
无干扰 #2,QZS194,QZS,150,0.253,0.253,0.001953125,21.1875,40.0
无干扰 #2,QZS195,QZS,150,0.253,0.253,0.001953125,262.28125,39.0
无干扰 #2,QZS199,QZS,150,0.253,0.253,0.001953125,425.734375,43.0
392MHz 干扰,BDS1,BDS,100,0.253,0.253,0.001953125,26.84375,40.0
392MHz 干扰,BDS10,BDS,150,0.253,0.253,0.001953125,56.28125,41.0
392MHz 干扰,BDS2,BDS,86,0.38,0.38,0.00390625,0.0,29.0
392MHz 干扰,BDS23,BDS,100,0.253,0.253,0.001953125,27.875,35.5
392MHz 干扰,BDS24,BDS,100,0.253,0.253,0.001953125,236.390625,40.0
392MHz 干扰,BDS25,BDS,100,0.21100000000000002,0.253,0.001953125,243.890625,42.0
392MHz 干扰,BDS3,BDS,100,0.253,0.253,0.001953125,28.1875,40.0
392MHz 干扰,BDS33,BDS,100,0.253,0.253,0.001953125,232.796875,40.5
392MHz 干扰,BDS4,BDS,100,0.253,0.38,0.001953125,25.6875,37.5
392MHz 干扰,BDS41,BDS,100,0.253,0.253,0.001953125,236.890625,39.5
392MHz 干扰,BDS42,BDS,100,0.3165,0.38,0.0029296875,24.640625,30.5
392MHz 干扰,BDS6,BDS,100,0.253,0.253,0.001953125,236.84375,40.5
392MHz 干扰,BDS7,BDS,100,0.253,0.253,0.001953125,468.546875,41.5
392MHz 干扰,BDS9,BDS,150,0.253,0.253,0.001953125,467.734375,41.0
392MHz 干扰,GAL13,GAL,94,0.253,0.38,0.001953125,0.234375,32.0
392MHz 干扰,GAL2,GAL,92,0.253,0.253,0.001953125,5.9375,37.0
392MHz 干扰,GAL26,GAL,87,0.38,0.38,0.00390625,0.0,29.0
392MHz 干扰,GAL30,GAL,100,0.253,0.253,0.001953125,461.9375,43.0
392MHz 干扰,GAL32,GAL,100,0.253,0.253,0.001953125,230.1875,39.0
392MHz 干扰,GAL7,GAL,100,0.253,0.253,0.001953125,244.375,41.0
392MHz 干扰,GAL8,GAL,100,0.253,0.253,0.001953125,233.4375,41.0
392MHz 干扰,GLO100,GLO,100,0.253,0.253,0.001953125,44.75,42.0
392MHz 干扰,GLO76,GLO,39,0.38,0.38,0.001953125,0.0,31.0
392MHz 干扰,GLO82,GLO,53,0.253,0.38,0.001953125,4.28125,37.0
392MHz 干扰,GLO85,GLO,100,0.253,0.253,0.001953125,27.140625,41.0
392MHz 干扰,GLO86,GLO,100,0.253,0.253,0.001953125,26.984375,39.5
